File,CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,HeuBug,HeuBugCount,RealBug,RealBugCount,critical
activemq-console/src/main/java/org/apache/activemq/console/command/AbstractAmqCommand.java,0,10,171,5,0,2,0,18,2,18,0,6,2,7,62,1,7,17,25,7,3,6,0,49,17,11,26,88,37,0.7,21,63,5,46,1,7,3,61,2,1,2,1,5,2.714285714,1,10,4.714285714,1,5,2.428571429,1,4,1.4,0,1,1,1,32,18,1,1,0,1,1,0,FALSE,0,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/command/AbstractCommand.java,0,8,123,5,0,1,1,15,3,17,0,8,3,5,57,1,5,13,17,4,2,7,1,32,13,7,17,53,24,1.08,13,41,5,29,0,5,3,73,1,4,2,2,7,3.2,1,9,3.6,0,5,2.6,1,2,1.285714286,0,2,2,2,30,28,0.983739837,0.5,0,1,2,1,FALSE,0,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/command/AbstractJmxCommand.java,0,7,136,5,0,1,1,16,2,13,0,5,2,7,56,1,7,15,20,7,2,6,0,31,15,7,20,65,26,0.86,16,46,5,30,0,7,2,76,2,5,1,1,7,4,2,10,3.142857143,1,9,2.714285714,1,2,1.111111111,0,1,1,1,8,8,1,1,0,1,1,0,FALSE,0,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/command/AmqBrowseCommand.java,0,29,241,17,0,4,5,29,9,53,0,15,9,3,67,1,3,26,36,3,5,20,0,106,26,12,36,143,54,0.47,35,90,17,64,8,3,10,53,3,0,4,1,13,7.333333333,1,16,10,1,17,9.333333333,1,3,2.4,0,1,1,1,76,76,1,1,0,1,1,0,FALSE,0,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/command/BrowseCommand.java,0,24,212,17,0,3,5,26,8,44,0,13,8,3,57,1,3,23,33,3,5,20,0,93,23,9,34,126,44,0.45,29,78,17,56,5,3,9,63,3,0,4,1,13,6.333333333,1,13,9,1,17,8.333333333,1,3,2.4,0,1,1,1,76,76,1,1,0,1,1,0,FALSE,0,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/command/BstatCommand.java,0,21,73,3,0,3,0,3,3,32,0,9,3,1,25,1,1,3,11,1,1,3,0,30,3,3,11,41,11,0.61,7,22,3,19,2,1,3,100,4,0,0,1,1,1,1,6,6,6,3,3,3,2,2,2,1,1,1,24,23,0.671232877,1,0,2,1,0,FALSE,0,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/command/Command.java,0,1,29,1,1,1,0,1,1,6,0,5,1,1,21,1,1,1,4,0,0,1,0,0,1,1,4,5,0,4.2,3,4,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,3,1,1,0,1,1,0,FALSE,0,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/command/ListCommand.java,0,6,62,2,0,1,0,3,2,10,0,4,2,2,24,1,2,3,12,2,1,2,0,17,3,2,11,31,6,0.77,7,17,2,13,0,2,2,50,3,0,2,1,1,1,1,6,3.5,1,2,1.5,1,1,0.75,0,1,1,1,17,17,1,1,0,1,1,0,FALSE,0,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/command/PurgeCommand.java,0,13,183,7,0,2,0,19,3,23,0,7,3,5,55,1,5,17,33,3,3,9,2,70,17,9,35,106,32,0.52,22,67,7,52,1,5,4,73,3,0,3,1,5,2.8,1,13,7.8,1,9,4,1,4,2.142857143,0,1,1,1,56,50,1,1,0,1,1,0,FALSE,0,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/command/QueryCommand.java,0,28,228,18,0,4,1,25,7,42,0,10,7,3,49,1,3,22,39,3,4,21,0,122,22,13,36,158,50,0.31,21,86,18,64,3,3,8,46,3,1,2,1,7,4.333333333,1,15,7.666666667,1,22,8.666666667,1,2,1.6,0,1,1,1,86,94,0.964912281,1,0,1,1,1,FALSE,0,FALSE,0,0
