airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99
Aer Lingus,320906734,2,NA,NA
Aeroflot*,1197672318,76,14,128
Aerolineas Argentinas,385803648,6,NA,NA
Aeromexico*,596871813,3,1,64
Air Canada,1865253802,2,NA,NA
Air France,3004002661,14,4,79
Air India*,869253552,2,1,329
Air New Zealand*,1549135164,3,NA,NA
Alaska Airlines*,965346773,5,NA,NA
Alitalia,698012498,7,2,NA
All Nippon Airways,1841234177,3,1,1
American*,5228357340,21,5,NA
Austrian Airlines,358239823,1,NA,NA
Avianca,396922563,5,3,323
British Airways*,3179760952,4,NA,NA
Cathay Pacific*,2582459303,NA,NA,NA
China Airlines,813216487,12,6,535
Condor,417982610,2,1,16
COPA,550491507,3,1,47
